"P1","P2","P3","P4","P5","Team","Mins","PTS","oPTS","POSS","oPOSS","ePOSS","ORTG","DRTG","NETRTG","FG.","oFG.","TPP","oTPP","FTP","oFTP","eFG.","oeFG.","TS.","oTS.","RIM.","oRIM.","MID.","oMID.","TPrate","oTPrate","RIMrate","oRIMrate","MIDrate","oMIDrate","FTrate","oFTrate","ASTrate","oASTrate","TOrate","oTOrate","BLKrate","oBLKrate","ORB.","DRB.","PACE","ShotsPerPoss","oShotsPerPoss","FGA","oFGA","FGM","oFGM","TPA","oTPA","TPM","oTPM","FTA","oFTA","FTM","oFTM","RIMA","oRIMA","RIMM","oRIMM","ORB","oORB","DRB","oDRB","BLK","oBLK","TO","oTO","AST","oAST","Opponent"
"CALEB.LOVE","DAYRON.SHARPE","GARRISON.BROOKS","KERWIN.WALTON","LEAKY.BLACK","North Carolina",0.067,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Stanford"
"CALEB.LOVE","DAYRON.SHARPE","GARRISON.BROOKS","LEAKY.BLACK","RJ.DAVIS","North Carolina",6.467,9,5,11,10,10.5,85.714,47.619,38.095,0.429,0.125,0,0,0.6,0.6,0.429,0.125,0.48,0.241,1,0.333,0.25,0,0.143,0.5,0.286,0.375,0.571,0.125,0.714,0.625,0.333,0,0.455,0.091,0.25,0.143,0.8,0.714,18.476,0.909,1.1,7,8,3,1,1,4,0,0,5,5,3,3,2,3,2,1,4,2,5,1,2,1,5,1,1,0,"Stanford"
"CALEB.LOVE","DAYRON.SHARPE","LEAKY.BLACK","RJ.DAVIS","WALKER.KESSLER","North Carolina",1.383,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0.5,0,0,2,0,0,0,0.5,0,0.5,1,1,1,20.75,1,1,1,2,0,0,0,1,0,0,2,0,0,0,1,1,0,0,1,0,2,0,1,1,1,0,0,0,"Stanford"
"CALEB.LOVE","GARRISON.BROOKS","KERWIN.WALTON","LEAKY.BLACK","WALKER.KESSLER","North Carolina",1.967,0,4,4,4,4,0,100,-100,0,0.333,0,0.5,0,1,0,0.5,0,0.576,0,0,0,0,0.25,0.667,0.5,0,0.25,0.333,0,0.333,0,1,0.5,0,0,0.25,0.5,1,14.75,1,1,4,3,0,1,1,2,0,1,0,1,0,1,2,0,0,0,2,0,2,2,0,1,2,0,0,1,"Stanford"
"DAYRON.SHARPE","KERWIN.WALTON","LEAKY.BLACK","RJ.DAVIS","WALKER.KESSLER","North Carolina",2.667,5,4,6,5,5.5,90.909,72.727,18.182,1,0.25,1,0,0,1,1.25,0.25,1.01,0.404,1,0.5,0,0,0.5,0.5,0.5,0.5,0,0,0.5,0.5,1,0,0.667,0.333,0.25,0,1,0.5,14.545,0.5,1,2,4,2,1,1,2,1,0,1,2,0,2,1,2,1,1,1,2,2,0,1,0,4,2,2,0,"Stanford"
"ANDREW.PLATEK","ARMANDO.BACOT","CALEB.LOVE","GARRISON.BROOKS","LEAKY.BLACK","North Carolina",2.7,4,5,5,4,4.5,88.889,111.111,-22.222,0.25,0.4,0,1,0.667,0,0.25,0.5,0.369,0.5,1,0.333,0,0,0,0.2,0.25,0.6,0.75,0.2,0.75,0,0,0.5,0,0.2,0.2,0.25,0.25,0.333,18,1.2,1.25,4,5,1,2,0,1,0,1,3,0,2,0,1,3,1,1,1,2,1,3,1,1,0,1,0,1,"Texas"
"ANDREW.PLATEK","ARMANDO.BACOT","GARRISON.BROOKS","KERWIN.WALTON","LEAKY.BLACK","North Carolina",0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Texas"
"ANDREW.PLATEK","ARMANDO.BACOT","GARRISON.BROOKS","LEAKY.BLACK","RJ.DAVIS","North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Texas"
"ANDREW.PLATEK","CALEB.LOVE","DAYRON.SHARPE","GARRISON.BROOKS","LEAKY.BLACK","North Carolina",1.1,0,10,3,4,3.5,0,285.714,-285.714,0,1,0,1,0,1,0,1.5,0,1.439,0,0,0,0,0,1,1,0,0,0,0,0.333,0,0.667,0.667,0,0,1,0,0,9.429,0.333,1,1,3,0,3,0,3,0,3,0,1,0,1,1,0,0,0,0,0,0,1,0,1,2,0,0,2,"Texas"
"ANDREW.PLATEK","DAYRON.SHARPE","GARRISON.BROOKS","KJ.SMITH","PUFF.JOHNSON","North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Texas"
"ANDREW.PLATEK","DAYRON.SHARPE","GARRISON.BROOKS","LEAKY.BLACK","PUFF.JOHNSON","North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Texas"
"ANDREW.PLATEK","DAYRON.SHARPE","GARRISON.BROOKS","LEAKY.BLACK","RJ.DAVIS","North Carolina",1.717,4,4,3,4,3.5,114.286,114.286,0,0.5,0.4,0,0,1,0,0.5,0.4,0.678,0.4,0.5,0.5,0,0,0,0,1,0.8,0,0.2,1,0,0,0,0.333,0,0,0,1,0.667,14.714,1,1.25,2,5,1,2,0,0,0,0,2,0,2,0,2,4,1,2,1,1,2,0,0,0,1,0,0,0,"Texas"
"ANDREW.PLATEK","GARRISON.BROOKS","KERWIN.WALTON","LEAKY.BLACK","RJ.DAVIS","North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Texas"
"ANDREW.PLATEK","KERWIN.WALTON","LEAKY.BLACK","RJ.DAVIS","WALKER.KESSLER","North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Texas"
"ARMANDO.BACOT","CALEB.LOVE","DAYRON.SHARPE","LEAKY.BLACK","RJ.DAVIS","North Carolina",2.15,4,2,4,4,4,100,50,50,0.5,0.5,0,0,0,0,0.5,0.5,0.447,0.5,1,1,0,0,0.25,0.5,0.5,0.5,0.25,0,0.25,0,1,0,0,0.5,0,0,0.333,1,16.125,1.25,0.5,4,2,2,1,1,1,0,0,1,0,0,0,2,1,2,1,1,0,1,2,0,0,0,2,2,0,"Texas"
