P1,P2,P3,P4,P5,Team,Mins,PTS,oPTS,POSS,oPOSS,ePOSS,ORTG,DRTG,NETRTG,FG.,oFG.,TPP,oTPP,FTP,oFTP,eFG.,oeFG.,TS.,oTS.,RIM.,oRIM.,MID.,oMID.,TPrate,oTPrate,RIMrate,oRIMrate,MIDrate,oMIDrate,FTrate,oFTrate,ASTrate,oASTrate,TOrate,oTOrate,BLKrate,oBLKrate,ORB.,DRB.,PACE,ShotsPerPoss,oShotsPerPoss,FGA,oFGA,FGM,oFGM,TPA,oTPA,TPM,oTPM,FTA,oFTA,FTM,oFTM,RIMA,oRIMA,RIMM,oRIMM,ORB,oORB,DRB,oDRB,BLK,oBLK,TO,oTO,AST,oAST
CALEB.ELLIS,GARRISON.BROOKS,ROBBIE.OHAN,RYAN.MCADOO,SHEA.RUSH,North Carolina,0,1,0,1,0,0.5,200,0,200,0,0,0,0,1,0,0,0,1.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALEB.ELLIS,JUSTIN.PIERCE,KJ.SMITH,SHEA.RUSH,WALKER.MILLER,North Carolina,0.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALEB.ELLIS,JUSTIN.PIERCE,ROBBIE.OHAN,RYAN.MCADOO,SHEA.RUSH,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALEB.ELLIS,JUSTIN.PIERCE,ROBBIE.OHAN,SHEA.RUSH,WALKER.MILLER,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALEB.ELLIS,JUSTIN.PIERCE,RYAN.MCADOO,SHEA.RUSH,WALKER.MILLER,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALEB.ELLIS,KJ.SMITH,ROBBIE.OHAN,RYAN.MCADOO,SHEA.RUSH,North Carolina,3.017,4,10,6,6,6,66.667,166.667,-100,0.2,0.5,0,0.333,1,1,0.2,0.625,0.336,0.784,0.5,1,0,0,0,0.75,0.4,0.25,0.6,0,0.4,1.25,1,0.5,0.167,0.167,0,0,0.25,0,15.083,1,1.167,5,4,1,2,0,3,0,1,2,5,2,5,2,1,1,1,1,2,0,3,0,0,1,1,1,1
CALEB.ELLIS,KJ.SMITH,ROBBIE.OHAN,RYAN.MCADOO,WALKER.MILLER,North Carolina,1.1,0,0,3,2,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,1,0.667,0,0,0,0,0,0,0,0,0.333,0,0,0,1,13.2,1,0.5,3,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,0,1,0,0
CALEB.ELLIS,KJ.SMITH,ROBBIE.OHAN,SHEA.RUSH,WALKER.MILLER,North Carolina,1.567,0,3,1,2,1.5,0,200,-200,0,0.5,0,0.5,0,0,0,0.75,0,0.75,0,0,0,0,0.5,1,0,0,0.5,0,0,0,0,1,0,0,0,0.5,0.5,1,31.333,2,1,2,2,0,1,1,2,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1
CALEB.ELLIS,KJ.SMITH,RYAN.MCADOO,SHEA.RUSH,WALKER.MILLER,North Carolina,0.983,2,2,1,3,2,100,100,0,0.5,0.5,0,0,0,0,0.5,0.5,0.5,0.404,1,1,0,0,0.5,0,0.5,0.5,0,0.5,0,0.5,1,0,0,0,0,0,1,1,14.75,2,1,2,2,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,2,0,0,0,0,0,1,0
CALEB.ELLIS,ROBBIE.OHAN,RYAN.MCADOO,SHEA.RUSH,WALKER.MILLER,North Carolina,1.7,2,0,4,4,4,50,0,50,0,0,0,0,1,0,0,0,0.253,0,0,0,0,0,0.333,1,0.333,0,0.333,0,0.667,0,0,0,0.25,0.25,0,0,0.333,1,12.75,1,0.75,3,3,0,0,1,3,0,0,2,0,2,0,1,0,0,0,1,0,3,2,0,0,1,1,0,0
CHRISTIAN.KEELING,COLE.ANTHONY,GARRISON.BROOKS,JEREMIAH.FRANCIS,JUSTIN.PIERCE,North Carolina,2.533,2,3,5,4,4.5,44.444,66.667,-22.222,0.25,0.333,0,0,0,0.5,0.25,0.333,0.25,0.38,1,1,0,0,0.5,0.333,0.25,0.333,0.25,0.333,0,0.667,0,1,0.4,0,0.333,0,0.333,1,16.889,0.8,1,4,3,1,1,2,1,0,0,0,2,0,1,1,1,1,1,1,0,3,2,1,0,2,0,0,1
CHRISTIAN.KEELING,COLE.ANTHONY,GARRISON.BROOKS,JEREMIAH.FRANCIS,LEAKY.BLACK,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHRISTIAN.KEELING,COLE.ANTHONY,GARRISON.BROOKS,JUSTIN.PIERCE,LEAKY.BLACK,North Carolina,49.283,113,79,95,92,93.5,120.856,84.492,36.364,0.5,0.448,0.333,0.24,0.75,0.765,0.537,0.493,0.582,0.526,0.654,0.68,0.472,0.412,0.225,0.373,0.325,0.373,0.45,0.254,0.45,0.254,0.475,0.6,0.179,0.242,0,0.062,0.435,0.816,15.813,1.032,0.826,80,67,40,30,18,25,6,6,36,17,27,13,26,25,17,17,20,7,31,26,0,5,17,23,19,18
CHRISTIAN.KEELING,COLE.ANTHONY,GARRISON.BROOKS,JUSTIN.PIERCE,WALKER.MILLER,North Carolina,3.2,1,4,5,6,5.5,18.182,72.727,-54.545,0,0.2,0,0,0.5,1,0,0.2,0.084,0.336,0,1,0,0,0.2,0.4,0.4,0.2,0.4,0.4,0.4,0.4,0,1,0.2,0,0,0.2,0.4,1,17.455,1.2,1,5,5,0,1,1,2,0,0,2,2,1,2,2,1,0,1,2,0,4,3,0,1,1,0,0,1
CHRISTIAN.KEELING,COLE.ANTHONY,GARRISON.BROOKS,LEAKY.BLACK,WALKER.MILLER,North Carolina,2.567,5,2,4,3,3.5,142.857,57.143,85.714,0.25,0,0,0,1,1,0.25,0,0.461,0.513,0,0,0.5,0,0.5,1,0,0,0.5,0,0.75,2,1,0,0.25,0.25,0,0.25,1,1,22,1.5,0.667,4,1,1,0,2,1,0,0,3,2,3,2,0,0,0,0,3,0,1,0,0,1,1,1,1,0
CHRISTIAN.KEELING,COLE.ANTHONY,JEREMIAH.FRANCIS,JUSTIN.PIERCE,WALKER.MILLER,North Carolina,1.2,4,4,2,2,2,200,200,0,0.667,1,0,1,0,1,0.667,1.5,0.667,1.356,0.5,0,1,0,0,1,0.667,0,0.333,0,0,1,0,1,0,0,0,0,1,0,18,1.5,1,3,1,2,1,0,1,0,1,0,1,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1
CHRISTIAN.KEELING,COLE.ANTHONY,JUSTIN.PIERCE,LEAKY.BLACK,SHEA.RUSH,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHRISTIAN.KEELING,COLE.ANTHONY,JUSTIN.PIERCE,LEAKY.BLACK,WALKER.MILLER,North Carolina,1.633,2,1,2,2,2,100,50,50,0.5,0,0,0,0,0.5,0.5,0,0.5,0.256,0.5,0,0,0,0,0,1,1,0,0,0,2,0,0,0.5,0.5,1,0,1,0.5,24.5,1,1,2,1,1,0,0,0,0,0,0,2,0,1,2,1,1,0,1,1,1,0,1,0,1,1,0,0
CHRISTIAN.KEELING,COLE.ANTHONY,KJ.SMITH,LEAKY.BLACK,SHEA.RUSH,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHRISTIAN.KEELING,COLE.ANTHONY,KJ.SMITH,RYAN.MCADOO,SHEA.RUSH,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHRISTIAN.KEELING,GARRISON.BROOKS,JEREMIAH.FRANCIS,JUSTIN.PIERCE,LEAKY.BLACK,North Carolina,1.9,4,9,3,6,4.5,88.889,200,-111.111,1,0.75,0,1,0,1,1,0.875,1,0.909,1,0.667,1,0,0,0.25,0.5,0.75,0.5,0,0,0.5,0.5,0.667,0.333,0.333,0,0,0,1,12.667,0.667,0.833,2,4,2,3,0,1,0,1,0,2,0,2,1,3,1,2,0,0,1,0,0,0,1,1,1,2
CHRISTIAN.KEELING,GARRISON.BROOKS,JEREMIAH.FRANCIS,LEAKY.BLACK,WALKER.MILLER,North Carolina,0.967,6,5,4,3,3.5,171.429,142.857,28.571,1,1,0,0,0.667,0.5,1,1,0.876,0.847,0,1,1,1,0,0,0,0.5,1,0.5,1.5,1,1,0,0,0,0,0,0,0,8.286,1,1,2,2,2,2,0,0,0,0,3,2,2,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0
