"ID","Date","Home","Away","Team","Player","MINS","POSS","FGM","FGA","FG.","TPM","TPA","TP.","FTM","FTA","FT.","RIMM","RIMA","RIM.","MIDM","MIDA","MID.","TS.","eFG.","PBACKM","PBACKA","PBACK.","ORB","DRB","AST","STL","BLK","TOV","PF","PTS","GS"
"4986967","12/30/2020","Georgia Tech","North Carolina","North Carolina","ANDREW.PLATEK",15.167,29,1,5,0.2,1,5,0.2,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,1,1,0,0,2,3,3,-2.3
"4986967","12/30/2020","Georgia Tech","North Carolina","North Carolina","ARMANDO.BACOT",22.916,39,5,8,0.625,0,0,0,4,6,0.667,5,7,0.714,0,1,0,0.645,0.625,0,0,0,0,5,0,2,0,3,3,14,8.9
"4986967","12/30/2020","Georgia Tech","North Carolina","North Carolina","CALEB.LOVE",24.817,44,3,10,0.3,2,5,0.4,0,0,0,0,0,0,1,5,0.2,0.4,0.4,0,0,0,0,2,4,1,0,4,2,8,1.8
"4986967","12/30/2020","Georgia Tech","North Carolina","North Carolina","DAYRON.SHARPE",19.317,36,3,6,0.5,0,0,0,1,4,0.25,3,5,0.6,0,1,0,0.443,0.5,1,1,1,3,4,1,2,0,1,0,7,7.8
"4986967","12/30/2020","Georgia Tech","North Carolina","North Carolina","GARRISON.BROOKS",29.333,50,4,7,0.571,1,1,1,0,0,0,1,2,0.5,2,4,0.5,0.643,0.643,0,1,0,3,8,1,0,1,1,3,9,9.4
"4986967","12/30/2020","Georgia Tech","North Carolina","North Carolina","KERWIN.WALTON",22.35,39,3,4,0.75,3,4,0.75,0,0,0,0,0,0,0,0,0,1.125,1.125,0,0,0,1,1,4,1,0,1,1,9,10.8
"4986967","12/30/2020","Georgia Tech","North Carolina","North Carolina","LEAKY.BLACK",28.783,50,5,7,0.714,0,2,0,0,0,0,1,1,1,4,4,1,0.714,0.714,0,0,0,1,2,2,1,1,3,2,10,7.7
"4986967","12/30/2020","Georgia Tech","North Carolina","North Carolina","PUFF.JOHNSON",5,9,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,1.053,0,0,0,0,0,0,1,0,0,0,1,2,2.3
"4986967","12/30/2020","Georgia Tech","North Carolina","North Carolina","RJ.DAVIS",24.2,43,1,7,0.143,1,3,0.333,2,2,1,0,0,0,0,4,0,0.314,0.214,0,0,0,0,3,3,0,0,3,2,5,-0.3
"4986967","12/30/2020","Georgia Tech","North Carolina","North Carolina","WALKER.KESSLER",8.116,16,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,0,-1.2
"4987520","01/02/2021","North Carolina","Notre Dame","North Carolina","ANDREW.PLATEK",15.15,25,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0.8
"4987520","01/02/2021","North Carolina","Notre Dame","North Carolina","ARMANDO.BACOT",17.117,29,1,7,0.143,0,0,0,2,4,0.5,1,5,0.2,0,2,0,0.225,0.143,0,2,0,5,5,1,1,0,1,2,4,3.6
"4987520","01/02/2021","North Carolina","Notre Dame","North Carolina","CALEB.LOVE",15.034,26,2,7,0.286,1,3,0.333,0,0,0,0,0,0,1,4,0.25,0.357,0.357,0,0,0,0,0,0,0,0,2,1,5,-1.5
"4987520","01/02/2021","North Carolina","Notre Dame","North Carolina","DAYRON.SHARPE",28.866,47,9,19,0.474,0,0,0,7,9,0.778,8,13,0.615,1,6,0.167,0.537,0.474,2,3,0.667,8,2,1,1,0,2,2,25,19.6
"4987520","01/02/2021","North Carolina","Notre Dame","North Carolina","GARRISON.BROOKS",28.767,46,2,7,0.286,1,1,1,0,0,0,0,1,0,1,5,0.2,0.357,0.357,0,0,0,3,5,4,1,0,0,2,5,7.5
"4987520","01/02/2021","North Carolina","Notre Dame","North Carolina","KERWIN.WALTON",27,44,4,8,0.5,4,8,0.5,0,0,0,0,0,0,0,0,0,0.75,0.75,0,0,0,0,1,3,0,0,1,0,12,9.4
