active_from,active_to,college,height,name,position,weight,nba_3ptapg,nba_3ptpct,nba_3ptpg,nba_efgpct,nba_fg,nba_fg_per_game,nba_fga_per_game,nba_ft,nba_ft_per_g,nba_fta_p_g,nba_g_played,nba_ppg,ncaa_3ptapg,ncaa_3ptpct,ncaa_3ptpg,ncaa_efgpct,ncaa_fgapg,ncaa_fgpct,ncaa_fgpg,ncaa_ft,ncaa_ftapg,ncaa_ftpg,ncaa_games,ncaa_ppg,birth_year,career_length,bmi,age_entering_league
2003,2009,University of Michigan,81,Maceo Baston,F,215.0,0.1,0.375,0.0,0.625,0.616,1.0,1.6,0.74,0.7,0.9,105,2.7,0.0,0.0,0.0,0.617,6.0,0.627,3.7,0.648,4.9,3.2,126.0,10.6,1975.0,6,23.0,28
2002,2004,,83,Mengke Bateer,C,290.0,0.3,0.33299999999999996,0.1,0.40700000000000003,0.391,1.3,3.4,0.7440000000000001,0.6,0.8,46,3.4,,,,,,,,,,,,,1975.0,2,29.6,27
1980,1983,Kentucky State University,76,Billy Ray Bates,G,210.0,0.6,0.303,0.2,0.483,0.474,4.8,10.1,0.7959999999999999,2.0,2.5,187,11.7,,,,,,,,,,,,,1956.0,3,25.6,24
2006,2007,,82,Esteban Batista,F,270.0,0.0,0.0,0.0,0.43799999999999994,0.43799999999999994,0.6,1.4,0.617,0.5,0.9,70,1.7,,,,,,,,,,,,,1983.0,1,28.2,23
2003,2003,Arizona State University,80,Mike Batiste,F,225.0,1.1,0.222,0.2,0.441,0.42200000000000004,2.6,6.2,0.784,0.9,1.2,75,6.4,2.0,0.301,0.6,0.521,11.9,0.49700000000000005,5.9,0.654,3.5,2.3,76.0,14.7,1977.0,0,24.7,26
1998,2012,Texas Tech University,83,Tony Battie,C,230.0,0.1,0.162,0.0,0.49,0.488,2.6,5.2,0.69,0.9,1.4,837,6.1,0.4,0.278,0.1,0.552,7.7,0.545,4.2,0.649,3.3,2.1,87.0,10.7,1976.0,14,23.5,22
2002,2014,Duke University,80,Shane Battier,F,220.0,3.3,0.384,1.3,0.529,0.43700000000000006,3.1,7.0,0.743,1.2,1.6,977,8.6,4.1,0.41600000000000004,1.7,0.601,8.9,0.5,4.5,0.777,3.8,3.0,146.0,13.6,1978.0,12,24.2,24
1986,1995,Rutgers University,74,John Battle,G,175.0,0.4,0.273,0.1,0.47100000000000003,0.46399999999999997,3.4,7.2,0.7929999999999999,1.9,2.4,612,8.7,1.3,0.342,0.4,0.51,9.6,0.488,4.7,0.7070000000000001,3.6,2.5,114.0,11.9,1962.0,9,22.5,24
1990,1993,"Northern Illinois University, University of Illinois at Urbana-Champaign",78,Kenny Battle,F,210.0,0.2,0.133,0.0,0.508,0.504,1.8,3.6,0.725,1.0,1.4,134,4.7,0.3,0.5,0.1,0.573,11.6,0.569,6.6,0.6859999999999999,6.6,4.5,123.0,17.8,1964.0,3,24.3,26
1983,1984,University of Notre Dame,82,Dave Batton,C,240.0,0.1,0.0,0.0,0.44799999999999995,0.44799999999999995,1.6,3.5,0.47100000000000003,0.1,0.3,58,3.2,,,,,8.6,0.5329999999999999,4.6,0.6990000000000001,2.1,1.4,114.0,10.6,1956.0,1,25.1,27
1975,1975,University of Cincinnati,76,Lloyd Batts,G,185.0,2.5,0.28600000000000003,0.7,0.397,0.366,4.3,11.7,0.617,1.0,1.6,58,10.3,,,,,,,,,,,,,1951.0,0,22.5,24
2009,2018,,80,Nicolas Batum,F,200.0,4.6,0.355,1.6,0.516,0.434,4.3,9.9,0.8390000000000001,1.9,2.2,691,12.0,,,,,,,,,,,,,1988.0,9,22.0,21
1970,1974,Temple University,77,Johnny Baum,F,200.0,0.0,0.0,0.0,0.48,0.48,2.6,5.4,0.758,1.0,1.3,244,6.1,,,,,,,,,,,,,1946.0,4,23.7,24
